run_id,step,birth_index,birth_type,death_index,death_type,event,mutants_before,mutants_after,N,true_r,true_i0
exp002_run02,37,5,A,6,A,5A:6A,16,16,22,1.3,13
exp002_run02,38,8,A,16,B,8A:16B,16,17,22,1.3,13
exp002_run02,39,7,A,4,A,7A:4A,17,17,22,1.3,13
exp002_run02,40,10,B,6,A,10B:6A,17,16,22,1.3,13
exp002_run02,41,2,A,14,A,2A:14A,16,16,22,1.3,13
exp002_run02,42,10,B,8,A,10B:8A,16,15,22,1.3,13
exp002_run02,43,10,B,3,A,10B:3A,15,14,22,1.3,13
exp002_run02,44,13,A,18,B,13A:18B,14,15,22,1.3,13
exp002_run02,45,15,A,21,B,15A:21B,15,16,22,1.3,13
exp002_run02,46,12,A,20,A,12A:20A,16,16,22,1.3,13
exp002_run02,47,15,A,10,B,15A:10B,16,17,22,1.3,13
exp002_run02,48,12,A,19,A,12A:19A,17,17,22,1.3,13
exp002_run02,49,8,B,12,A,8B:12A,17,16,22,1.3,13
exp002_run02,50,11,A,10,A,11A:10A,16,16,22,1.3,13
exp002_run02,51,9,A,19,A,9A:19A,16,16,22,1.3,13
exp002_run02,52,20,A,13,A,20A:13A,16,16,22,1.3,13
exp002_run02,53,5,A,11,A,5A:11A,16,16,22,1.3,13
exp002_run02,54,5,A,14,A,5A:14A,16,16,22,1.3,13
exp002_run02,55,2,A,2,A,2A:2A,16,16,22,1.3,13
exp002_run02,56,7,A,7,A,7A:7A,16,16,22,1.3,13
exp002_run02,57,21,A,7,A,21A:7A,16,16,22,1.3,13
exp002_run02,58,18,A,9,A,18A:9A,16,16,22,1.3,13
exp002_run02,59,10,A,20,A,10A:20A,16,16,22,1.3,13
exp002_run02,60,9,A,17,A,9A:17A,16,16,22,1.3,13
exp002_run02,61,3,B,18,A,3B:18A,16,15,22,1.3,13
exp002_run02,62,11,A,7,A,11A:7A,15,15,22,1.3,13
exp002_run02,63,5,A,13,A,5A:13A,15,15,22,1.3,13
exp002_run02,64,6,B,13,A,6B:13A,15,14,22,1.3,13
exp002_run02,65,15,A,5,A,15A:5A,14,14,22,1.3,13
exp002_run02,66,9,A,4,A,9A:4A,14,14,22,1.3,13
exp002_run02,67,13,B,14,A,13B:14A,14,13,22,1.3,13
exp002_run02,68,20,A,13,B,20A:13B,13,14,22,1.3,13
exp002_run02,69,5,A,7,A,5A:7A,14,14,22,1.3,13
exp002_run02,70,11,A,16,A,11A:16A,14,14,22,1.3,13
exp002_run02,71,11,A,4,A,11A:4A,14,14,22,1.3,13
exp002_run02,72,19,A,16,A,19A:16A,14,14,22,1.3,13
exp002_run02,73,3,B,9,A,3B:9A,14,13,22,1.3,13
exp002_run02,74,9,B,18,B,9B:18B,13,13,22,1.3,13
exp002_run02,75,5,A,10,A,5A:10A,13,13,22,1.3,13
exp002_run02,76,15,A,1,B,15A:1B,13,14,22,1.3,13
exp002_run02,77,16,A,8,B,16A:8B,14,15,22,1.3,13
